자치구명,시간대,국적,분류,생활인구밀도
노원구,18-24시,내국인,고령,3420.343370748168
도봉구,00-06시,내국인,고령,3821.421448848497
도봉구,06-12시,내국인,고령,3586.8439948964588
도봉구,12-18시,내국인,고령,3540.563667047
도봉구,18-24시,내국인,고령,3793.668890386635
동대문구,00-06시,내국인,고령,5421.576667620368
동대문구,06-12시,내국인,고령,5629.091430405435
동대문구,12-18시,내국인,고령,5883.635396268038
동대문구,18-24시,내국인,고령,5504.189722263966
동작구,00-06시,내국인,고령,5183.660404371952
동작구,06-12시,내국인,고령,4905.134234046176
동작구,12-18시,내국인,고령,4728.855611866564
동작구,18-24시,내국인,고령,5110.237457296446
마포구,00-06시,내국인,고령,3009.93456743536
마포구,06-12시,내국인,고령,3108.942524576166
마포구,12-18시,내국인,고령,3109.3881016819346
마포구,18-24시,내국인,고령,3044.0989840000766
서대문구,00-06시,내국인,고령,4087.9060074074655
서대문구,06-12시,내국인,고령,4070.767767993536
서대문구,12-18시,내국인,고령,3995.3140935852903
서대문구,18-24시,내국인,고령,4070.028549216907
서초구,00-06시,내국인,고령,1864.5787696888035
서초구,06-12시,내국인,고령,2208.8419054783826
서초구,12-18시,내국인,고령,2337.4075809381875
서초구,18-24시,내국인,고령,2000.7684300811843
성동구,00-06시,내국인,고령,3895.4937312560064
성동구,06-12시,내국인,고령,4045.282891304112
성동구,12-18시,내국인,고령,4017.059598914642
성동구,18-24시,내국인,고령,3951.534049090831
성북구,00-06시,내국인,고령,3847.087519736133
성북구,06-12시,내국인,고령,3627.360274266119
성북구,12-18시,내국인,고령,3499.5265100259708
성북구,18-24시,내국인,고령,3808.006384354879
송파구,00-06시,내국인,고령,4362.475818532235
송파구,06-12시,내국인,고령,4364.886217039188
송파구,12-18시,내국인,고령,4305.057934492137
송파구,18-24시,내국인,고령,4366.25535535438
양천구,00-06시,내국인,고령,4691.250113213683
양천구,06-12시,내국인,고령,4401.758907151981
양천구,12-18시,내국인,고령,4292.330195927392
양천구,18-24시,내국인,고령,4643.58105709205
영등포구,00-06시,내국인,고령,3367.390416988905
영등포구,06-12시,내국인,고령,3686.647005896084
영등포구,12-18시,내국인,고령,3895.950263181095
영등포구,18-24시,내국인,고령,3509.6594628016624
용산구,00-06시,내국인,고령,2338.3654817257643
용산구,06-12시,내국인,고령,2541.315667426658
용산구,12-18시,내국인,고령,2548.163222785952
용산구,18-24시,내국인,고령,2374.02757287667
은평구,00-06시,내국인,고령,3726.3680523999888
은평구,06-12시,내국인,고령,3421.5240598786754
은평구,12-18시,내국인,고령,3301.340934165733
은평구,18-24시,내국인,고령,3647.086197462841
종로구,00-06시,내국인,고령,1958.861032750287
종로구,06-12시,내국인,고령,2598.59642514834
종로구,12-18시,내국인,고령,3155.328386720368
종로구,18-24시,내국인,고령,2186.0962358272745
중구,00-06시,내국인,고령,3443.7000478030845
중구,06-12시,내국인,고령,5275.85973847903
중구,12-18시,내국인,고령,6444.188052924024
중구,18-24시,내국인,고령,4032.3123230043457
중랑구,00-06시,내국인,고령,5042.030676179193
중랑구,06-12시,내국인,고령,4648.217432044921
중랑구,12-18시,내국인,고령,4560.6451954313225
중랑구,18-24시,내국인,고령,4972.5315143922
강남구,00-06시,내국인,총,16818.219162602163
강남구,06-12시,내국인,총,21354.293277772384
강남구,12-18시,내국인,총,24829.79870870123
강남구,18-24시,내국인,총,19636.252825981155
강동구,00-06시,내국인,총,22283.95164288115
강동구,06-12시,내국인,총,20691.49930098733
강동구,12-18시,내국인,총,19453.76858843388
강동구,18-24시,내국인,총,21319.43092332518
강북구,00-06시,내국인,총,13492.07321110208
강북구,06-12시,내국인,총,12306.180342877871
강북구,12-18시,내국인,총,11679.301541809844
강북구,18-24시,내국인,총,12879.078988536105
강서구,00-06시,내국인,총,13600.944888402706
강서구,06-12시,내국인,총,13280.049252831435
강서구,12-18시,내국인,총,12814.6657597149
강서구,18-24시,내국인,총,13258.525338908628
관악구,00-06시,내국인,총,17520.26039715218
관악구,06-12시,내국인,총,15795.895454158
관악구,12-18시,내국인,총,14590.592611024378
관악구,18-24시,내국인,총,16523.994554315046
광진구,00-06시,내국인,총,22362.04452085575
광진구,06-12시,내국인,총,21393.833735304357
광진구,12-18시,내국인,총,21092.565630201225
광진구,18-24시,내국인,총,22630.55351624136
구로구,00-06시,내국인,총,19656.880426559364
구로구,06-12시,내국인,총,19338.512406885173
구로구,12-18시,내국인,총,19058.895388867702
구로구,18-24시,내국인,총,19657.154300273694
금천구,00-06시,내국인,총,15851.876600067337
금천구,06-12시,내국인,총,17444.48032609824
금천구,12-18시,내국인,총,18127.33146512917
금천구,18-24시,내국인,총,16305.51806756027
노원구,00-06시,내국인,총,15524.764885929784
노원구,06-12시,내국인,총,14436.399834954183
노원구,12-18시,내국인,총,13798.931149959544
노원구,18-24시,내국인,총,14982.27018666574
도봉구,00-06시,내국인,총,14467.535889763069
도봉구,06-12시,내국인,총,13331.345538633675
도봉구,12-18시,내국인,총,12519.29910625228
도봉구,18-24시,내국인,총,13833.905833491435
동대문구,00-06시,내국인,총,26116.872463178108
동대문구,06-12시,내국인,총,26076.0652336249
동대문구,12-18시,내국인,총,25458.903171945745
동대문구,18-24시,내국인,총,25469.21453593883
동작구,00-06시,내국인,총,25509.82321305165
동작구,06-12시,내국인,총,23962.787005746835
동작구,12-18시,내국인,총,22453.05882025433
동작구,18-24시,내국인,총,24586.641538207125
마포구,00-06시,내국인,총,17900.514851375126
마포구,06-12시,내국인,총,18731.30445183653
마포구,12-18시,내국인,총,20544.280844197467
마포구,18-24시,내국인,총,19707.672831463773
서대문구,00-06시,내국인,총,20895.524290779264
서대문구,06-12시,내국인,총,21519.70844078301
서대문구,12-18시,내국인,총,21663.543613781
서대문구,18-24시,내국인,총,20835.811528172973
서초구,00-06시,내국인,총,10177.08975282095
서초구,06-12시,내국인,총,12558.222329737337
서초구,12-18시,내국인,총,13910.667713314531
서초구,18-24시,내국인,총,11626.66942397314
성동구,00-06시,내국인,총,19752.04092558055
성동구,06-12시,내국인,총,21155.32918859913
성동구,12-18시,내국인,총,21922.39119689269
성동구,18-24시,내국인,총,20751.11093634725
성북구,00-06시,내국인,총,18842.246344016927
성북구,06-12시,내국인,총,17632.223273112493
성북구,12-18시,내국인,총,16784.803915266893
성북구,18-24시,내국인,총,18189.85233303796
송파구,00-06시,내국인,총,22165.49637198977
송파구,06-12시,내국인,총,22217.69991127428
송파구,12-18시,내국인,총,22592.901539528444
송파구,18-24시,내국인,총,22617.356596624937
양천구,00-06시,내국인,총,23069.516165550685
양천구,06-12시,내국인,총,21311.739313164377
양천구,12-18시,내국인,총,20426.0315938486
양천구,18-24시,내국인,총,22512.268401781894
영등포구,00-06시,내국인,총,17111.57708946052
영등포구,06-12시,내국인,총,19779.731885002184
영등포구,12-18시,내국인,총,21570.52017097527
영등포구,18-24시,내국인,총,18716.98098067312
용산구,00-06시,내국인,총,12118.28741159571
용산구,06-12시,내국인,총,13462.2660280278
용산구,12-18시,내국인,총,14390.716965126012
용산구,18-24시,내국인,총,13100.624916528344
은평구,00-06시,내국인,총,16349.137706838865
은평구,06-12시,내국인,총,14578.401289303449
은평구,12-18시,내국인,총,13330.033106822571
은평구,18-24시,내국인,총,15337.799317473784
종로구,00-06시,내국인,총,9020.23338588008
