자치구명,시간대,내국인_고령,내국인_생산가능,내국인_유소년,내국인_총,외국인_LONG,외국인_TEMP,총_인구밀도,유소년_인구밀도,생산가능_인구밀도,고령_인구밀도
광진구,06-12시,3928.4354237367975,6552.621451813905,10912.77685975365,21393.83373530436,1217.7220657336184,186.8181438784414,20586,2428,14799,3078
광진구,12-18시,3944.895774614977,6354.047956125842,10793.621899460406,21092.565630201225,1148.1276982821844,187.17280830215145,20586,2428,14799,3078
광진구,18-24시,4098.358019201636,7043.428499579781,11488.766997459948,22630.55351624136,1291.4829445015446,195.39397803080183,20586,2428,14799,3078
구로구,00-06시,4273.650107605508,5576.038795979828,9807.191522974026,19656.880426559364,1745.1843099553364,266.4914969656944,20794,2687,14488,3835
구로구,06-12시,4097.834978435324,5555.080358452027,9685.59706999782,19338.512406885173,1369.189072995815,253.228466164202,20794,2687,14488,3835
구로구,12-18시,4087.092817841808,5455.6254467623485,9516.17712426355,19058.895388867702,1412.0128575419628,242.27303838158264,20794,2687,14488,3835
구로구,18-24시,4273.986769844403,5606.226605946513,9776.940924482784,19657.15430027369,1739.5956067930315,260.3353016989388,20794,2687,14488,3835
금천구,00-06시,3380.9203718480176,4816.203637400136,7654.752590819183,15851.876600067337,1354.5499016160595,153.93488670047486,18649,1952,13691,3350
금천구,06-12시,3452.052361891436,5538.340565038682,8454.087399168124,17444.48032609824,1164.30915569654,154.72341031710965,18649,1952,13691,3350
금천구,12-18시,3507.9281549986326,5829.893744688537,8789.509565441997,18127.33146512917,1219.2281720465178,155.34652212963547,18649,1952,13691,3350
금천구,18-24시,3450.448630680583,4975.302778272276,7879.766658607412,16305.51806756027,1346.615372907154,154.17790951398973,18649,1952,13691,3350
노원구,00-06시,3502.4054085018606,4143.040194174732,7879.319283253193,15524.764885929784,154.85771812929696,33.8009780115856,14335,2190,9379,2488
노원구,06-12시,3283.5530735927728,3717.8897467248,7434.9570146366095,14436.399834954183,158.34032800823567,33.31232520718019,14335,2190,9379,2488
노원구,12-18시,3167.6349470853047,3476.304710868972,7154.991492005268,13798.931149959544,151.93951502185186,32.37161992614696,14335,2190,9379,2488
노원구,18-24시,3420.343370748168,3919.315112853933,7642.61170306364,14982.27018666574,147.1631466920746,32.86954431182164,14335,2190,9379,2488
도봉구,00-06시,3821.421448848497,3713.96949169569,6932.14494921888,14467.535889763069,138.1446248720245,36.658613134764,15205,1862,9807,3132
도봉구,06-12시,3586.8439948964588,3329.702374557476,6414.7991691797415,13331.345538633675,137.36391564120424,35.93387760788086,15205,1862,9807,3132
도봉구,12-18시,3540.563667047,3003.8882175196527,5974.847221685629,12519.29910625228,126.64896938096344,33.48960648777737,15205,1862,9807,3132
