자치구,시간대,조도 평균(lux),소음 평균(dB)
동대문구,12시-18시,10392.353896103896,47.57560975609756
동대문구,18시-24시,589.6062052505966,46.34861407249467
동대문구,00시-24시,3983.9607901825802,45.96563665423548
동작구,00시-06시,286.6632572777341,45.718789407314
동작구,06시-12시,5244.298417483044,49.36737160120846
동작구,12시-18시,9943.85475285171,51.403304773561814
동작구,18시-24시,1000.6610305958133,50.734056122448976
동작구,00시-24시,4198.355577109603,49.31817476330902
마포구,00시-06시,11.189413035649983,45.653706395348834
마포구,06시-12시,4566.7193635748135,48.05457073340285
마포구,12시-18시,10702.331666666667,49.43875127248049
마포구,18시-24시,568.3335597826087,49.34763057765479
마포구,00시-24시,4051.505867237687,48.16011162466207
서대문구,00시-06시,1.4217054263565891,46.1692789968652
서대문구,06시-12시,4403.543715846995,48.7223823246878
서대문구,12시-18시,15737.00888888889,50.81730769230769
서대문구,18시-24시,821.1394302848576,49.8173828125
서대문구,00시-24시,5294.038984920927,48.93328409650419
서초구,00시-06시,175.1424017003188,47.50447518307567
서초구,06시-12시,2841.383435582822,50.68894192521878
서초구,12시-18시,8066.090555014605,51.58364875094625
서초구,18시-24시,409.4591397849462,51.35708502024291
서초구,00시-24시,2994.9313725490197,50.3107893692979
성동구,00시-06시,8.567254174397032,44.002442002442
성동구,06시-12시,4107.772338403041,47.638243984803715
성동구,12시-18시,11167.142921146953,48.74949899799599
성동구,18시-24시,503.4718779790276,47.72863247863248
성동구,00시-24시,4032.8953434225846,47.02246144291481
성북구,00시-06시,1.6475409836065573,44.0172972972973
성북구,06시-12시,5008.267412935324,47.61060948081264
성북구,12시-18시,12130.605450236966,48.3202614379085
성북구,18시-24시,598.8921319796955,47.694736842105264
성북구,00시-24시,4479.699696048632,46.885044642857146
송파구,00시-06시,4.3155802861685215,44.24147727272727
송파구,06시-12시,3044.8221503637833,47.97148966500357
송파구,12시-18시,8765.199857244825,49.2183908045977
송파구,18시-24시,434.48200175592626,48.54279105628373
송파구,00시-24시,3286.354319761668,47.520620373634124
양천구,00시-06시,10.623985239852399,43.0184585492228
양천구,06시-12시,5163.392741645706,47.06309448319594
양천구,12시-18시,12119.878139850645,48.139855942376954
양천구,18시-24시,598.3981981981982,47.68402777777778
양천구,00시-24시,4616.036115569824,46.518835347669125
영등포구,00시-06시,1.3729257641921397,44.38663282571912
영등포구,06시-12시,3601.8283712784587,47.41112047177759
영등포구,12시-18시,9170.09066183137,48.65387968613775
영등포구,18시-24시,492.21204188481676,47.99579831932773
영등포구,00시-24시,3261.363536155203,47.10220994475138
용산구,00시-06시,11.006444683136413,42.9939879759519
용산구,06시-12시,2908.0276981852912,45.58654708520179
용산구,12시-18시,7285.385405960946,47.17151162790697
용산구,18시-24시,406.4387755102041,46.35832521908471
용산구,00시-24시,2681.7456118036125,45.54841802492809
은평구,00시-06시,4.615560640732266,44.534330985915496
은평구,06시-12시,5594.64336492891,47.85778175313059
은평구,12시-18시,18604.39305711086,49.7129471890971
은평구,18시-24시,894.7044917257683,49.03285968028419
은평구,00시-24시,6391.829910326873,47.79754062362758
종로구,00시-06시,7.064761904761904,44.91774270683883
종로구,06시-12시,3509.390423572744,48.04535043518094
종로구,12시-18시,9422.485528647372,49.5985727029438
종로구,18시-24시,587.7411915438821,48.63814531548757
종로구,00시-24시,3499.1724992257664,47.83422397769517
중구,00시-06시,4.261421319796955,44.47913769123783
중구,06시-12시,3785.8299919807537,47.28815789473684
중구,12시-18시,11099.817631806396,49.569718309859155
중구,18시-24시,519.0731306491372,48.51261620185923
중구,00시-24시,3789.3333333333335,47.4656696125085
중랑구,00시-06시,7.682824025289778,44.166186359269936
중랑구,06시-12시,3861.1103896103896,47.273622047244096
중랑구,12시-18시,13108.553235908143,48.76130895091434
중랑구,18시-24시,775.9239013933548,48.32941176470588
중랑구,00시-24시,4478.450584484591,47.124878522837705
