자치구명,시간대,국적,분류,생활인구밀도
서초구,야간,내국인,생산가능,7109.52
서초구,주간,내국인,생산가능,8877.24
강남구,심야,내국인,생산가능,10464
강남구,야간,내국인,생산가능,12279.05
강남구,주간,내국인,생산가능,16157.51
송파구,심야,내국인,생산가능,13407.21
송파구,야간,내국인,생산가능,13680.72
송파구,주간,내국인,생산가능,13594.4
강동구,심야,내국인,생산가능,12873.2
강동구,야간,내국인,생산가능,12301.52
강동구,주간,내국인,생산가능,11034.94
종로구,심야,내국인,고령,1981.39
종로구,야간,내국인,고령,2122.69
종로구,주간,내국인,고령,2909.17
중구,심야,내국인,고령,3514.17
중구,야간,내국인,고령,3885.04
중구,주간,내국인,고령,5929.33
용산구,심야,내국인,고령,2355.72
용산구,야간,내국인,고령,2359.23
용산구,주간,내국인,고령,2543.75
성동구,심야,내국인,고령,3910
성동구,야간,내국인,고령,3939.93
성동구,주간,내국인,고령,4032.21
광진구,심야,내국인,고령,4053.28
광진구,야간,내국인,고령,4097.58
광진구,주간,내국인,고령,3944.8
동대문구,심야,내국인,고령,5424.67
동대문구,야간,내국인,고령,5478.46
동대문구,주간,내국인,고령,5772.17
중랑구,심야,내국인,고령,5014.55
중랑구,야간,내국인,고령,4991.66
중랑구,주간,내국인,고령,4606.7
성북구,심야,내국인,고령,3835.48
성북구,야간,내국인,고령,3826.73
성북구,주간,내국인,고령,3559.16
강북구,심야,내국인,고령,3527.01
강북구,야간,내국인,고령,3494.97
강북구,주간,내국인,고령,3247.51
도봉구,심야,내국인,고령,3806.68
도봉구,야간,내국인,고령,3810.06
도봉구,주간,내국인,고령,3563.16
노원구,심야,내국인,고령,3489.53
노원구,야간,내국인,고령,3439.49
노원구,주간,내국인,고령,3218.29
은평구,심야,내국인,고령,3708.16
은평구,야간,내국인,고령,3671.02
은평구,주간,내국인,고령,3355.48
서대문구,심야,내국인,고령,4084.88
서대문구,야간,내국인,고령,4080.07
서대문구,주간,내국인,고령,4029.14
마포구,심야,내국인,고령,3018.83
마포구,야간,내국인,고령,3035.96
마포구,주간,내국인,고령,3110.22
양천구,심야,내국인,고령,4674.47
양천구,야간,내국인,고령,4664.85
양천구,주간,내국인,고령,4344
강서구,심야,내국인,고령,2852.15
강서구,야간,내국인,고령,2837.92
강서구,주간,내국인,고령,2718.02
구로구,심야,내국인,고령,4258.39
구로구,야간,내국인,고령,4279.59
구로구,주간,내국인,고령,4099.06
금천구,심야,내국인,고령,3376.68
금천구,야간,내국인,고령,3440.61
금천구,주간,내국인,고령,3492.36
영등포구,심야,내국인,고령,3380.1
영등포구,야간,내국인,고령,3476.61
영등포구,주간,내국인,고령,3809.51
동작구,심야,내국인,고령,5174.13
동작구,야간,내국인,고령,5134.54
동작구,주간,내국인,고령,4806.31
관악구,심야,내국인,고령,3249.74
관악구,야간,내국인,고령,3234.27
관악구,주간,내국인,고령,2992.61
서초구,심야,내국인,고령,1887.01
서초구,야간,내국인,고령,1972.64
서초구,주간,내국인,고령,2283.11
강남구,심야,내국인,고령,2924.96
강남구,야간,내국인,고령,2986.15
강남구,주간,내국인,고령,3521.95
송파구,심야,내국인,고령,4367.89
송파구,야간,내국인,고령,4369.74
송파구,주간,내국인,고령,4330.68
강동구,심야,내국인,고령,4948.21
강동구,야간,내국인,고령,4921.56
강동구,주간,내국인,고령,4645.95
종로구,심야,외국인,TEMP,321.25
종로구,야간,외국인,TEMP,324.09
종로구,주간,외국인,TEMP,360.88
중구,심야,외국인,TEMP,2135
중구,야간,외국인,TEMP,2039.27
중구,주간,외국인,TEMP,1852.34
용산구,심야,외국인,TEMP,270.18
용산구,야간,외국인,TEMP,274.44
용산구,주간,외국인,TEMP,256.65
성동구,심야,외국인,TEMP,182.42
성동구,야간,외국인,TEMP,192.29
성동구,주간,외국인,TEMP,200.57
광진구,심야,외국인,TEMP,190.94
광진구,야간,외국인,TEMP,196.21
광진구,주간,외국인,TEMP,187.25
동대문구,심야,외국인,TEMP,325.54
동대문구,야간,외국인,TEMP,311.46
동대문구,주간,외국인,TEMP,310.85
중랑구,심야,외국인,TEMP,49.28
중랑구,야간,외국인,TEMP,47.69
중랑구,주간,외국인,TEMP,46.84
성북구,심야,외국인,TEMP,134.49
성북구,야간,외국인,TEMP,132.7
성북구,주간,외국인,TEMP,132.78
강북구,심야,외국인,TEMP,43.43
강북구,야간,외국인,TEMP,41.98
강북구,주간,외국인,TEMP,41.31
도봉구,심야,외국인,TEMP,36.65
도봉구,야간,외국인,TEMP,35.58
도봉구,주간,외국인,TEMP,34.48
노원구,심야,외국인,TEMP,33.75
노원구,야간,외국인,TEMP,33.05
노원구,주간,외국인,TEMP,32.72
은평구,심야,외국인,TEMP,48.51
은평구,야간,외국인,TEMP,46.72
은평구,주간,외국인,TEMP,46.34
서대문구,심야,외국인,TEMP,504.15
서대문구,야간,외국인,TEMP,447.22
서대문구,주간,외국인,TEMP,452.02
